127.0.0.1 - - [19/Mar/2025:14:52:47 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:52:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:52:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:53:11 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:53:20 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:11:44 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:14:29 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:21:58 +0530] "GET /FirstWebProject/ HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:22:52 +0530] "GET /FirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:22:55 +0530] "GET /FirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:28:43 +0530] "GET /FirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:28:44 +0530] "GET /FirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:29:47 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:29:47 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:32:37 +0530] "GET /FirstWebProject/ HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:32:37 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:32:54 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:32:54 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:33:35 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:33:35 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:34:23 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:34:23 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:35:44 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:35:44 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:51 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:51 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:52 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:52 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:52 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:15:36:52 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
